place_id,place_name,review Length (raw),cleaned review Length,Lexical Diversity
ChIJbSt9IZDDlIARo2FxybKYSSc,Omni Family Health | Hanford Health Center,50,20,0.8
ChIJbSt9IZDDlIARo2FxybKYSSc,Omni Family Health | Hanford Health Center,109,40,0.75
ChIJbSt9IZDDlIARo2FxybKYSSc,Omni Family Health | Hanford Health Center,67,26,0.8461538461538461
ChIJbSt9IZDDlIARo2FxybKYSSc,Omni Family Health | Hanford Health Center,51,18,0.9444444444444444
ChIJbSt9IZDDlIARo2FxybKYSSc,Omni Family Health | Hanford Health Center,61,26,0.7307692307692307
ChIJa5CujBzBwoAR1CZPJhe8BR0,Urgent Care | Kaiser Permanente Los Angeles Medical Center,95,39,0.8974358974358975
ChIJa5CujBzBwoAR1CZPJhe8BR0,Urgent Care | Kaiser Permanente Los Angeles Medical Center,28,15,1.0
ChIJa5CujBzBwoAR1CZPJhe8BR0,Urgent Care | Kaiser Permanente Los Angeles Medical Center,31,14,1.0
ChIJa5CujBzBwoAR1CZPJhe8BR0,Urgent Care | Kaiser Permanente Los Angeles Medical Center,20,12,0.9166666666666666
ChIJa5CujBzBwoAR1CZPJhe8BR0,Urgent Care | Kaiser Permanente Los Angeles Medical Center,537,227,0.7400881057268722
ChIJWZcv_KExw4ARVF15itKFEgQ,Prestige Medical Clinic and Urgent Care,87,35,0.9142857142857143
ChIJWZcv_KExw4ARVF15itKFEgQ,Prestige Medical Clinic and Urgent Care,71,23,0.9130434782608695
ChIJWZcv_KExw4ARVF15itKFEgQ,Prestige Medical Clinic and Urgent Care,44,18,0.9444444444444444
ChIJWZcv_KExw4ARVF15itKFEgQ,Prestige Medical Clinic and Urgent Care,73,27,0.8518518518518519
ChIJWZcv_KExw4ARVF15itKFEgQ,Prestige Medical Clinic and Urgent Care,121,49,0.6938775510204082
ChIJhVVm0Q7hmoAR0CuzKwnJHrI,Granite Bay Urgent Care,59,23,0.9130434782608695
ChIJhVVm0Q7hmoAR0CuzKwnJHrI,Granite Bay Urgent Care,90,40,0.9
ChIJhVVm0Q7hmoAR0CuzKwnJHrI,Granite Bay Urgent Care,71,34,1.0
ChIJhVVm0Q7hmoAR0CuzKwnJHrI,Granite Bay Urgent Care,41,17,0.8823529411764706
ChIJhVVm0Q7hmoAR0CuzKwnJHrI,Granite Bay Urgent Care,54,20,0.95
ChIJ6bYhttCkwoAR2neji8JIhDo,Urgent Care on Wheels,70,35,0.9428571428571428
ChIJ6bYhttCkwoAR2neji8JIhDo,Urgent Care on Wheels,53,21,0.7619047619047619
ChIJ6bYhttCkwoAR2neji8JIhDo,Urgent Care on Wheels,21,10,1.0
ChIJ6bYhttCkwoAR2neji8JIhDo,Urgent Care on Wheels,17,8,1.0
ChIJ6bYhttCkwoAR2neji8JIhDo,Urgent Care on Wheels,12,6,1.0
ChIJaz8crlMJm4ARhbSVQPRw1EQ,Weimar Family Care,21,10,1.0
ChIJaz8crlMJm4ARhbSVQPRw1EQ,Weimar Family Care,117,47,0.8723404255319149
ChIJaz8crlMJm4ARhbSVQPRw1EQ,Weimar Family Care,118,44,0.7954545454545454
ChIJaz8crlMJm4ARhbSVQPRw1EQ,Weimar Family Care,115,46,0.9565217391304348
ChIJaz8crlMJm4ARhbSVQPRw1EQ,Weimar Family Care,80,36,0.7777777777777778
ChIJTT78CZD3moARvQx8JnCtj9U,Shingle Springs Veterinary Clinic,77,33,0.8484848484848485
ChIJTT78CZD3moARvQx8JnCtj9U,Shingle Springs Veterinary Clinic,91,45,0.9111111111111111
ChIJTT78CZD3moARvQx8JnCtj9U,Shingle Springs Veterinary Clinic,65,24,0.9583333333333334
ChIJTT78CZD3moARvQx8JnCtj9U,Shingle Springs Veterinary Clinic,193,84,0.7738095238095238
ChIJTT78CZD3moARvQx8JnCtj9U,Shingle Springs Veterinary Clinic,55,24,0.875
ChIJZwv54o_v3IAR-KKMqUJxSJM,Cali Quick Urgent Care,77,36,0.9166666666666666
ChIJZwv54o_v3IAR-KKMqUJxSJM,Cali Quick Urgent Care,54,25,0.96
ChIJZwv54o_v3IAR-KKMqUJxSJM,Cali Quick Urgent Care,37,9,1.0
ChIJZwv54o_v3IAR-KKMqUJxSJM,Cali Quick Urgent Care,36,17,1.0
ChIJZwv54o_v3IAR-KKMqUJxSJM,Cali Quick Urgent Care,43,25,0.92
ChIJrwq-rCxS2YARLDZw3okekK0,San Antonio Family Medical Clinic,45,16,0.9375
ChIJrwq-rCxS2YARLDZw3okekK0,San Antonio Family Medical Clinic,96,42,0.9523809523809523
ChIJrwq-rCxS2YARLDZw3okekK0,San Antonio Family Medical Clinic,25,14,0.8571428571428571
ChIJrwq-rCxS2YARLDZw3okekK0,San Antonio Family Medical Clinic,21,10,1.0
ChIJrwq-rCxS2YARLDZw3okekK0,San Antonio Family Medical Clinic,18,8,0.875
ChIJWZzRtGan3IARy1ulJKTkIRM,Unicare Community Health Center - Moreno Valley,75,36,0.8888888888888888
ChIJWZzRtGan3IARy1ulJKTkIRM,Unicare Community Health Center - Moreno Valley,252,102,0.8235294117647058
ChIJWZzRtGan3IARy1ulJKTkIRM,Unicare Community Health Center - Moreno Valley,73,29,0.896551724137931
ChIJWZzRtGan3IARy1ulJKTkIRM,Unicare Community Health Center - Moreno Valley,78,39,0.9230769230769231
ChIJWZzRtGan3IARy1ulJKTkIRM,Unicare Community Health Center - Moreno Valley,32,12,1.0
ChIJAQAA-8IGhYART1wrNqhehBk,Dr. Andrew Fenton,40,16,0.875
ChIJqyAL5O5CkYARsTP-dsAIVY4,Golden Valley Health Centers - Women's Health,87,40,0.8
