place_name,polarity,subjectivity,NLTK_Compound,review_rating
13 Area Branch Health Clinic,-0.09439646464646465,0.43950252525252526,0.03754,1.0
131 Stony Circle Care Center,-0.11391666666666668,0.5273660714285715,0.160975,3.0
1st Choice Urgent Care,0.20982690087690087,0.498555217005217,0.72994,4.2
1st Stop Urgent Care & Family Practice,0.12281002854358118,0.5190095688911478,0.43316999999999994,3.0
209 Urgent Care,0.36819047619047623,0.592815343915344,0.9592,5.0
24 HR ON CALL Emergency Dental Care,0.3314623015873016,0.6118174603174603,0.86952,5.0
24/7 Orthopedic Urgent Care- ****NOT A WALK IN **** MUST CALL FIRST,0.27167857142857144,0.46051190476190473,0.48310000000000003,3.4
24/7 PetVets,0.16201675485008818,0.47215243521910183,0.43658,2.6
3883 Airway Drive Care Center,0.2084850288600289,0.5208644480519482,-0.24497999999999998,3.4
3C Medical Clinic,0.3156292517006803,0.5847244897959184,0.5746800000000001,4.2
4700 Hoen Avenue Care Center,-0.06535087719298245,0.5868421052631578,0.4659,1.0
8-2-8 Urgent care,0.34976670110192837,0.6205676078971534,0.95952,5.0
A Extensive Urgent Care,0.22014682539682537,0.5077539682539682,0.92276,5.0
A Plus Care Non-Emergency Medical Transportation LLC,0.25,0.675,-0.1503,3.0
A Plus Urgent Care,0.3515332956175218,0.5726674970311875,0.9319266666666667,5.0
A' Family's Urgent Care,0.186875,0.4460119047619048,0.3174,4.0
A+ Urgent Care,0.31569444444444444,0.6411944444444444,0.58358,4.2
ABC Clinic,0.11666666666666665,0.2833333333333333,0.4215,5.0
ABC Urgent Care,0.10771292398078114,0.43058353551210693,0.51478,2.6
ACCESS Specialty Animal Hospitals - San Fernando Valley,0.29877932617491443,0.6478788947677837,0.58742,4.2
ACE Foot and Ankle Medical Clinic,0.3198045267489712,0.6517969821673525,0.39666666666666667,3.6666666666666665
AED Urgent Care Newark,0.018907634848811323,0.5132759103641457,-0.37104,1.0
AFC Urgent Care,0.3241895743145743,0.4796544733044733,0.9689399999999999,5.0
AFC Urgent Care - WE ARE OPEN!,0.16853417634996581,0.5330159109895952,0.41134000000000004,4.2
AFC Urgent Care Agoura Hills,0.38625654761904765,0.6319468253968255,0.9545,4.2
AFC Urgent Care Anaheim-Katella,0.2801964886964887,0.5745947570947572,0.9071999999999999,4.2
AFC Urgent Care Brentwood,0.3691993073593074,0.5507317171717172,0.9723200000000001,5.0
AFC Urgent Care Chino Hills,0.2703363095238095,0.5316994047619048,0.9413600000000001,5.0
AFC Urgent Care Chula Vista,0.24842063492063496,0.5082261904761906,0.78208,4.0
AFC Urgent Care Clairemont,0.309245387548959,0.5277962275819419,0.98116,4.8
AFC Urgent Care Granada Hills,0.3125911329201102,0.5698309356188144,0.9841599999999999,5.0
AFC Urgent Care Ladera Ranch,0.30605324675324674,0.5746598536384251,0.95146,4.2
AFC Urgent Care Mira Mesa,0.3242854700854701,0.6345213675213676,0.60684,4.0
AFC Urgent Care Mission Valley,0.227865639589169,0.5776903361344539,0.56636,4.2
AFC Urgent Care Modesto,0.28558333333333336,0.45534615384615384,0.96985,5.0
AFC Urgent Care Point Loma,0.2914355561972749,0.5948638999889,0.9836600000000001,5.0
AFC Urgent Care Rancho Santa Margarita,0.3942449494949495,0.6569670514670515,0.9661,5.0
AFC Urgent Care Santa Clara,0.3180093086477015,0.5540228561121419,0.92296,5.0
AFC Urgent Care Santa Clarita,0.2803921957671958,0.4908079805996473,0.8784599999999999,5.0
AFC Urgent Care Santee,0.1665561649659864,0.43015982360893085,0.90284,5.0
AFC Urgent Care Thousand Oaks,0.20597142857142856,0.5441659863945578,0.80672,4.2
AFC Urgent Care Torrance | Children & Adults | Lomita | Rolling Hills | Carson,0.18103511303511305,0.5106189849677245,0.25260000000000005,3.4
AFC Urgent Care Valencia,0.2911305166694777,0.5151058107356808,0.58072,4.6
AIMS Medical Plaza,0.20360115186957292,0.5290932065011013,0.784,3.4
AIMS Urgent Care,0.23911447534411193,0.5347831122897957,0.6642333333333333,3.7333333333333334
AME Urgent Care - Downey Florence,0.27968696581196584,0.5741239316239317,0.73502,3.6
AME Urgent Care - Downey Paramount,0.3470711627553733,0.5225566188197768,0.55966,4.2
AMH Comprehensive Community Health Centers,0.3525,0.51,0.9199,5.0
AP Urgent Care - Arcadia,0.1419089302387622,0.5100640256102441,0.029960000000000007,3.4
AP Urgent Care - City of Industry,0.37585431081264414,0.5945052108385441,0.96634,5.0
AP Urgent Care - Monterey Park,0.16886908060193773,0.4850995567924139,0.3273,3.4
"ARIA COMMUNITY HEALTH CENTER, DINUBA",0.4230924242424242,0.619178787878788,0.9421800000000001,5.0
"ARIA COMMUNITY HEALTH CENTER, FOWLER",0.2681153198653199,0.46196055796055796,0.3811,4.0
ARIA Community Health Center - Hanford,0.46213888888888893,0.6025833333333332,0.8089000000000001,5.0
Above Urgent Care Center,0.2533456196581197,0.5874994658119659,0.93042,4.2
Academic Family Medicine Urgent Care Center,0.07467157287157286,0.5056382876382877,0.32774000000000003,2.6
Accelerated Urgent Care,0.2326495867272823,0.521809856129829,0.6928129411764706,4.2
Access Family Medical Center,0.06396765271765274,0.5741424963924964,0.01996,2.6
Access First Urgent Care,0.2344155844155844,0.5335497835497836,0.5074,4.2
Action Urgent Care,0.24044913547647595,0.5154902055911513,0.66264,3.625
